date;part;celsius;relative_humidity;Air Velocity (m/s);Air Flow (m³/h)
26.11.2018;pre;23,8;49,6;<0.05;<7.2
26.11.2018;post;24;49,2;<0.05;<7.2
26.11.2018;pre;24,2;48,5;<0.05;<7.2
26.11.2018;post;23,6;49,3;<0.05;<7.2
26.11.2018;pre;23,5;49,3;<0.05;<7.2
26.11.2018;post;23;48,2;<0.05;<7.2
27.11.2018;pre;23;43,6;<0.05;<7.2
27.11.2018;post;23;41,3;<0.05;<7.2
27.11.2018;pre;23;41,3;<0.05;<7.2
27.11.2018;post;23;43,4;<0.05;<7.2
27.11.2018;pre;23;43,4;<0.05;<7.2
27.11.2018;post;23;42,5;<0.05;<7.2
28.11.2018;pre;23,4;32,1;<0.05;<7.2
28.11.2018;post;23,4;32,1;<0.05;<7.2
28.11.2018;pre;23,2;30;<0.05;<7.2
28.11.2018;post;23,2;30,7;<0.05;<7.2
28.11.2018;pre;23,2;30,7;<0.05;<7.2
28.11.2018;post;23,2;30,7;<0.05;<7.2
28.11.2018;pre;23,4;30,1;<0.05;<7.2
28.11.2018;post;23,4;30,1;<0.05;<7.2
29.11.2018;pre;23,6;25,3;<0.05;<7.2
29.11.2018;post;23,5;26,9;<0.05;<7.2
29.11.2018;pre;23,5;26,9;<0.05;<7.2
29.11.2018;post;23,4;28;<0.05;<7.2
1.12.2018;pre;23,3;39,5;<0.05;<7.2
1.12.2018;post;23,4;39,3;<0.05;<7.2
1.12.2018;pre;23,5;39,8;<0.05;<7.2
1.12.2018;post;23,5;39,8;<0.05;<7.2
1.12.2018;pre;23,5;38,5;<0.05;<7.2
1.12.2018;post;23,5;38,5;<0.05;<7.2
2.12.2018;pre;25,3;37,7;<0.05;<7.2
2.12.2018;post;25,3;37,7;<0.05;<7.2
2.12.2018;pre;24,6;34,2;<0.05;<7.2
2.12.2018;post;24,6;34,2;<0.05;<7.2
2.12.2018;pre;24,7;33,1;<0.05;<7.2
2.12.2018;post;24,7;33,1;<0.05;<7.2
2.12.2018;pre;24,9;35,4;<0.05;<7.2
2.12.2018;post;24,9;35,4;<0.05;<7.2
3.12.2018;pre;23,7;49;<0.05;<7.2
3.12.2018;post;23,7;49;<0.05;<7.2
4.12.2018;pre;23,3;43,8;<0.05;<7.2
4.12.2018;post;23,3;42,3;<0.05;<7.2
5.12.2018;pre;23,6;39,9;<0.05;<7.2
5.12.2018;post;23,6;40,6;<0.05;<7.2
6.12.2018;pre;23,6;42,6;<0.05;<7.2
6.12.2018;post;23,6;42,8;<0.05;<7.2
6.12.2018;pre;23,9;42,5;<0.05;<7.2
6.12.2018;post;23,9;42,5;<0.05;<7.2
9.12.2018;pre;23,9;41,3;<0.05;<7.2
9.12.2018;post;24,5;40,5;<0.05;<7.2
10.12.2018;pre;23,8;39,3;<0.05;<7.2
10.12.2018;post;24,2;37,4;<0.05;<7.2
10.12.2018;pre;23,8;43;<0.05;<7.2
10.12.2018;post;23,7;41,6;<0.05;<7.2
13.12.2018;pre;21,7;31,7;<0.05;<7.2
13.12.2018;post;22,3;31,8;<0.05;<7.2
14.12.2018;pre;23,8;28,8;<0.05;<7.2
14.12.2018;post;23,8;28,8;<0.05;<7.2
15.12.2018;pre;22;23,8;<0.05;<7.2
15.12.2018;post;22,5;23,3;<0.05;<7.2
17.12.2018;pre;23,1;30,7;<0.05;<7.2
17.12.2018;post;23,3;30,5;<0.05;<7.2
19.12.2018;pre;23;33,4;<0.05;<7.2
19.12.2018;post;23;33,5;<0.05;<7.2
